Agent_Number,Epsilon,Trendsetter_Percent,Beta,Weight,Trendsetter_Choosing_Type,A_emerged_count,B_emerged_count,Total_emerged,B_emerged_percentage
100,0.15,10,0.25,"[0, 0, 1]",by degree,3,5,8,0.1
100,0.15,10,0.3,"[0, 0, 1]",by degree,5,30,35,0.6
100,0.15,10,0.35,"[0, 0, 1]",by degree,2,32,34,0.64
100,0.15,10,0.4,"[0, 0, 1]",by degree,4,31,35,0.62
100,0.15,10,0.45,"[0, 0, 1]",by degree,3,36,39,0.72
100,0.15,10,0.25,"[0, 0, 1]",by closeness,1,11,12,0.22
100,0.15,10,0.3,"[0, 0, 1]",by closeness,2,27,29,0.54
100,0.15,10,0.35,"[0, 0, 1]",by closeness,2,27,29,0.54
100,0.15,10,0.4,"[0, 0, 1]",by closeness,4,35,39,0.7
100,0.15,10,0.45,"[0, 0, 1]",by closeness,5,32,37,0.64
