Agent Number,Epsilon,Trendsetter %,Beta,Weight,Trial,Percent of A,Percent of B
100,0.15,10,0.3,"[1, 0, 0]",1,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",1,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",2,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",3,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",1,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",2,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",3,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",4,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",5,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",6,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",7,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",8,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",9,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",10,89.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",11,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",12,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",13,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",14,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",15,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",16,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",17,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",18,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",19,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",20,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",21,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",22,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",23,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",24,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",25,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",26,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",27,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",28,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",29,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",30,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",31,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",32,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",33,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",34,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",35,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",36,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",37,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",38,90.0,10.0
100,0.15,10,0.3,"[1, 0, 0]",39,90.0,10.0
