epsilon,trendsetter_percent,num_agents,weight_q,weight_exp,weight_obs,topology_type,beta,A,B,percent_A,percent_B,emerged
0.05,0,100,0.6,0.3,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.5,0.4,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.4,0.4,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.5,0.2,0.3,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.3,0.5,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.2,0.6,0.2,toroidal,0.1,88,11,88.88888888888889,11.11111111111111,No
0.05,0,100,0.6,0.2,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.45,0.45,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.33,0.33,0.34,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.25,0.5,0.25,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.2,0.4,0.4,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.7,0.2,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.55,0.25,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.35,0.5,0.15,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.3,0.4,0.3,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.1,0.7,0.2,toroidal,0.1,73,26,73.73737373737374,26.262626262626263,No
0.05,0,150,0.6,0.3,0.1,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.5,0.4,0.1,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.4,0.4,0.2,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.5,0.2,0.3,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.3,0.5,0.2,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.2,0.6,0.2,toroidal,0.1,136,13,91.2751677852349,8.724832214765101,Yes
0.05,0,150,0.6,0.2,0.2,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.45,0.45,0.1,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.33,0.33,0.34,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.25,0.5,0.25,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.2,0.4,0.4,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.7,0.2,0.1,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.55,0.25,0.2,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.35,0.5,0.15,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.3,0.4,0.3,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.1,0.7,0.2,toroidal,0.1,117,32,78.52348993288591,21.476510067114095,No
0.05,5,100,0.6,0.3,0.1,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.5,0.4,0.1,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.4,0.4,0.2,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.5,0.2,0.3,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.3,0.5,0.2,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.2,0.6,0.2,toroidal,0.1,82,13,86.3157894736842,13.68421052631579,No
0.05,5,100,0.6,0.2,0.2,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.45,0.45,0.1,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.33,0.33,0.34,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.25,0.5,0.25,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.2,0.4,0.4,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.7,0.2,0.1,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.55,0.25,0.2,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.35,0.5,0.15,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.3,0.4,0.3,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.1,0.7,0.2,toroidal,0.1,74,21,77.89473684210526,22.105263157894736,No
0.05,5,150,0.6,0.3,0.1,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.5,0.4,0.1,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.4,0.4,0.2,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.5,0.2,0.3,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.3,0.5,0.2,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.2,0.6,0.2,toroidal,0.1,128,15,89.5104895104895,10.48951048951049,No
0.05,5,150,0.6,0.2,0.2,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.45,0.45,0.1,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.33,0.33,0.34,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.25,0.5,0.25,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.2,0.4,0.4,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.7,0.2,0.1,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.55,0.25,0.2,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.35,0.5,0.15,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.3,0.4,0.3,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.1,0.7,0.2,toroidal,0.1,108,35,75.52447552447552,24.475524475524477,No
0.05,10,100,0.6,0.3,0.1,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.5,0.4,0.1,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.4,0.4,0.2,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.5,0.2,0.3,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.3,0.5,0.2,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.2,0.6,0.2,toroidal,0.1,82,8,91.11111111111111,8.88888888888889,Yes
0.05,10,100,0.6,0.2,0.2,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.45,0.45,0.1,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.33,0.33,0.34,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.25,0.5,0.25,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.2,0.4,0.4,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.7,0.2,0.1,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.55,0.25,0.2,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.35,0.5,0.15,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.3,0.4,0.3,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.1,0.7,0.2,toroidal,0.1,69,21,76.66666666666667,23.333333333333332,No
0.05,10,150,0.6,0.3,0.1,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.5,0.4,0.1,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.4,0.4,0.2,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.5,0.2,0.3,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.3,0.5,0.2,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.2,0.6,0.2,toroidal,0.1,117,18,86.66666666666667,13.333333333333334,No
0.05,10,150,0.6,0.2,0.2,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.45,0.45,0.1,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.33,0.33,0.34,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.25,0.5,0.25,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.2,0.4,0.4,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.7,0.2,0.1,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.55,0.25,0.2,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.35,0.5,0.15,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.3,0.4,0.3,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.1,0.7,0.2,toroidal,0.1,93,42,68.88888888888889,31.11111111111111,No
0.1,0,100,0.6,0.3,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.5,0.4,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.4,0.4,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.5,0.2,0.3,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.3,0.5,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.2,0.6,0.2,toroidal,0.1,88,11,88.88888888888889,11.11111111111111,No
0.1,0,100,0.6,0.2,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.45,0.45,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.33,0.33,0.34,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.25,0.5,0.25,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.2,0.4,0.4,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.7,0.2,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.55,0.25,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.35,0.5,0.15,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.3,0.4,0.3,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.1,0.7,0.2,toroidal,0.1,74,25,74.74747474747475,25.252525252525253,No
0.1,0,150,0.6,0.3,0.1,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.5,0.4,0.1,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.4,0.4,0.2,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.5,0.2,0.3,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.3,0.5,0.2,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.2,0.6,0.2,toroidal,0.1,135,14,90.60402684563758,9.395973154362416,Yes
0.1,0,150,0.6,0.2,0.2,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.45,0.45,0.1,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.33,0.33,0.34,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.25,0.5,0.25,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.2,0.4,0.4,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.7,0.2,0.1,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.55,0.25,0.2,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.35,0.5,0.15,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.3,0.4,0.3,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.1,0.7,0.2,toroidal,0.1,110,39,73.8255033557047,26.174496644295303,No
0.1,5,100,0.6,0.3,0.1,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.5,0.4,0.1,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.4,0.4,0.2,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.5,0.2,0.3,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.3,0.5,0.2,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.2,0.6,0.2,toroidal,0.1,89,6,93.6842105263158,6.315789473684211,Yes
0.1,5,100,0.6,0.2,0.2,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.45,0.45,0.1,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.33,0.33,0.34,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.25,0.5,0.25,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.2,0.4,0.4,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.7,0.2,0.1,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.55,0.25,0.2,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.35,0.5,0.15,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.3,0.4,0.3,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.1,0.7,0.2,toroidal,0.1,69,26,72.63157894736842,27.36842105263158,No
0.1,5,150,0.6,0.3,0.1,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.5,0.4,0.1,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.4,0.4,0.2,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.5,0.2,0.3,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.3,0.5,0.2,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.2,0.6,0.2,toroidal,0.1,127,16,88.81118881118881,11.188811188811188,No
0.1,5,150,0.6,0.2,0.2,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.45,0.45,0.1,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.33,0.33,0.34,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.25,0.5,0.25,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.2,0.4,0.4,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.7,0.2,0.1,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.55,0.25,0.2,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.35,0.5,0.15,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.3,0.4,0.3,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.1,0.7,0.2,toroidal,0.1,105,38,73.42657342657343,26.573426573426573,No
0.1,10,100,0.6,0.3,0.1,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.5,0.4,0.1,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.4,0.4,0.2,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.5,0.2,0.3,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.3,0.5,0.2,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.2,0.6,0.2,toroidal,0.1,76,14,84.44444444444444,15.555555555555555,No
0.1,10,100,0.6,0.2,0.2,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.45,0.45,0.1,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.33,0.33,0.34,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.25,0.5,0.25,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.2,0.4,0.4,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.7,0.2,0.1,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.55,0.25,0.2,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.35,0.5,0.15,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.3,0.4,0.3,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.1,0.7,0.2,toroidal,0.1,64,26,71.11111111111111,28.88888888888889,No
0.1,10,150,0.6,0.3,0.1,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.5,0.4,0.1,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.4,0.4,0.2,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.5,0.2,0.3,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.3,0.5,0.2,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.2,0.6,0.2,toroidal,0.1,116,19,85.92592592592592,14.074074074074074,No
0.1,10,150,0.6,0.2,0.2,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.45,0.45,0.1,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.33,0.33,0.34,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.25,0.5,0.25,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.2,0.4,0.4,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.7,0.2,0.1,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.55,0.25,0.2,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.35,0.5,0.15,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.3,0.4,0.3,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.1,0.7,0.2,toroidal,0.1,103,32,76.29629629629629,23.703703703703702,No
0.15,0,100,0.6,0.3,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.5,0.4,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.4,0.4,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.5,0.2,0.3,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.3,0.5,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.2,0.6,0.2,toroidal,0.1,86,13,86.86868686868686,13.131313131313131,No
0.15,0,100,0.6,0.2,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.45,0.45,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.33,0.33,0.34,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.25,0.5,0.25,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.2,0.4,0.4,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.7,0.2,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
