epsilon,trendsetter_percent,num_agents,weight_q,weight_exp,weight_obs,topology_type,beta,A,B,percent_A,percent_B,emerged
0.05,0,100,0.6,0.3,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.5,0.4,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.4,0.4,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.5,0.2,0.3,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.6,0.2,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.45,0.45,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.33,0.33,0.34,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.25,0.5,0.25,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.2,0.4,0.4,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.7,0.2,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.55,0.25,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.35,0.5,0.15,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.3,0.4,0.3,toroidal,0.1,99,0,100.0,0.0,Yes
0.05,0,100,0.1,0.7,0.2,toroidal,0.1,71,28,71.71717171717172,28.282828282828284,No
0.05,0,150,0.6,0.3,0.1,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.5,0.4,0.1,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.4,0.4,0.2,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.5,0.2,0.3,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.3,0.5,0.2,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.2,0.6,0.2,toroidal,0.1,133,16,89.26174496644295,10.738255033557047,No
0.05,0,150,0.6,0.2,0.2,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.45,0.45,0.1,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.33,0.33,0.34,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.25,0.5,0.25,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.2,0.4,0.4,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.7,0.2,0.1,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.55,0.25,0.2,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.35,0.5,0.15,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.3,0.4,0.3,toroidal,0.1,149,0,100.0,0.0,Yes
0.05,0,150,0.1,0.7,0.2,toroidal,0.1,105,44,70.46979865771812,29.530201342281877,No
0.05,5,100,0.6,0.3,0.1,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.5,0.4,0.1,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.4,0.4,0.2,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.5,0.2,0.3,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.3,0.5,0.2,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.2,0.6,0.2,toroidal,0.1,83,12,87.36842105263158,12.631578947368421,No
0.05,5,100,0.6,0.2,0.2,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.45,0.45,0.1,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.33,0.33,0.34,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.25,0.5,0.25,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.2,0.4,0.4,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.7,0.2,0.1,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.55,0.25,0.2,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.35,0.5,0.15,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.3,0.4,0.3,toroidal,0.1,95,0,100.0,0.0,Yes
0.05,5,100,0.1,0.7,0.2,toroidal,0.1,64,31,67.36842105263158,32.63157894736842,No
0.05,5,150,0.6,0.3,0.1,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.5,0.4,0.1,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.4,0.4,0.2,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.5,0.2,0.3,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.3,0.5,0.2,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.2,0.6,0.2,toroidal,0.1,125,18,87.41258741258741,12.587412587412587,No
0.05,5,150,0.6,0.2,0.2,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.45,0.45,0.1,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.33,0.33,0.34,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.25,0.5,0.25,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.2,0.4,0.4,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.7,0.2,0.1,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.55,0.25,0.2,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.35,0.5,0.15,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.3,0.4,0.3,toroidal,0.1,143,0,100.0,0.0,Yes
0.05,5,150,0.1,0.7,0.2,toroidal,0.1,105,38,73.42657342657343,26.573426573426573,No
0.05,10,100,0.6,0.3,0.1,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.5,0.4,0.1,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.4,0.4,0.2,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.5,0.2,0.3,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.3,0.5,0.2,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.2,0.6,0.2,toroidal,0.1,79,11,87.77777777777777,12.222222222222221,No
0.05,10,100,0.6,0.2,0.2,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.45,0.45,0.1,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.33,0.33,0.34,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.25,0.5,0.25,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.2,0.4,0.4,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.7,0.2,0.1,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.55,0.25,0.2,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.35,0.5,0.15,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.3,0.4,0.3,toroidal,0.1,90,0,100.0,0.0,Yes
0.05,10,100,0.1,0.7,0.2,toroidal,0.1,70,20,77.77777777777777,22.22222222222222,No
0.05,10,150,0.6,0.3,0.1,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.5,0.4,0.1,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.4,0.4,0.2,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.5,0.2,0.3,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.3,0.5,0.2,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.2,0.6,0.2,toroidal,0.1,118,17,87.4074074074074,12.592592592592593,No
0.05,10,150,0.6,0.2,0.2,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.45,0.45,0.1,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.33,0.33,0.34,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.25,0.5,0.25,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.2,0.4,0.4,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.7,0.2,0.1,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.55,0.25,0.2,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.35,0.5,0.15,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.3,0.4,0.3,toroidal,0.1,135,0,100.0,0.0,Yes
0.05,10,150,0.1,0.7,0.2,toroidal,0.1,91,44,67.4074074074074,32.592592592592595,No
0.1,0,100,0.6,0.3,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.5,0.4,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.4,0.4,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.5,0.2,0.3,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.3,0.5,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.2,0.6,0.2,toroidal,0.1,88,11,88.88888888888889,11.11111111111111,No
0.1,0,100,0.6,0.2,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.45,0.45,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.33,0.33,0.34,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.25,0.5,0.25,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.2,0.4,0.4,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.7,0.2,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.55,0.25,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.35,0.5,0.15,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.3,0.4,0.3,toroidal,0.1,99,0,100.0,0.0,Yes
0.1,0,100,0.1,0.7,0.2,toroidal,0.1,64,35,64.64646464646465,35.35353535353536,No
0.1,0,150,0.6,0.3,0.1,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.5,0.4,0.1,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.4,0.4,0.2,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.5,0.2,0.3,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.3,0.5,0.2,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.2,0.6,0.2,toroidal,0.1,131,18,87.91946308724832,12.080536912751677,No
0.1,0,150,0.6,0.2,0.2,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.45,0.45,0.1,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.33,0.33,0.34,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.25,0.5,0.25,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.2,0.4,0.4,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.7,0.2,0.1,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.55,0.25,0.2,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.35,0.5,0.15,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.3,0.4,0.3,toroidal,0.1,149,0,100.0,0.0,Yes
0.1,0,150,0.1,0.7,0.2,toroidal,0.1,111,38,74.49664429530202,25.503355704697988,No
0.1,5,100,0.6,0.3,0.1,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.5,0.4,0.1,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.4,0.4,0.2,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.5,0.2,0.3,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.3,0.5,0.2,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.2,0.6,0.2,toroidal,0.1,84,11,88.42105263157895,11.578947368421053,No
0.1,5,100,0.6,0.2,0.2,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.45,0.45,0.1,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.33,0.33,0.34,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.25,0.5,0.25,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.2,0.4,0.4,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.7,0.2,0.1,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.55,0.25,0.2,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.35,0.5,0.15,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.3,0.4,0.3,toroidal,0.1,95,0,100.0,0.0,Yes
0.1,5,100,0.1,0.7,0.2,toroidal,0.1,71,24,74.73684210526316,25.263157894736842,No
0.1,5,150,0.6,0.3,0.1,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.5,0.4,0.1,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.4,0.4,0.2,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.5,0.2,0.3,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.3,0.5,0.2,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.2,0.6,0.2,toroidal,0.1,126,17,88.1118881118881,11.888111888111888,No
0.1,5,150,0.6,0.2,0.2,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.45,0.45,0.1,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.33,0.33,0.34,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.25,0.5,0.25,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.2,0.4,0.4,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.7,0.2,0.1,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.55,0.25,0.2,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.35,0.5,0.15,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.3,0.4,0.3,toroidal,0.1,143,0,100.0,0.0,Yes
0.1,5,150,0.1,0.7,0.2,toroidal,0.1,98,45,68.53146853146853,31.46853146853147,No
0.1,10,100,0.6,0.3,0.1,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.5,0.4,0.1,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.4,0.4,0.2,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.5,0.2,0.3,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.3,0.5,0.2,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.2,0.6,0.2,toroidal,0.1,83,7,92.22222222222223,7.777777777777778,Yes
0.1,10,100,0.6,0.2,0.2,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.45,0.45,0.1,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.33,0.33,0.34,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.25,0.5,0.25,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.2,0.4,0.4,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.7,0.2,0.1,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.55,0.25,0.2,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.35,0.5,0.15,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.3,0.4,0.3,toroidal,0.1,90,0,100.0,0.0,Yes
0.1,10,100,0.1,0.7,0.2,toroidal,0.1,62,28,68.88888888888889,31.11111111111111,No
0.1,10,150,0.6,0.3,0.1,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.5,0.4,0.1,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.4,0.4,0.2,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.5,0.2,0.3,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.3,0.5,0.2,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.2,0.6,0.2,toroidal,0.1,119,16,88.14814814814815,11.851851851851851,No
0.1,10,150,0.6,0.2,0.2,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.45,0.45,0.1,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.33,0.33,0.34,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.25,0.5,0.25,toroidal,0.1,133,2,98.51851851851852,1.4814814814814814,Yes
0.1,10,150,0.2,0.4,0.4,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.7,0.2,0.1,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.55,0.25,0.2,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.35,0.5,0.15,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.3,0.4,0.3,toroidal,0.1,135,0,100.0,0.0,Yes
0.1,10,150,0.1,0.7,0.2,toroidal,0.1,97,38,71.85185185185185,28.14814814814815,No
0.15,0,100,0.6,0.3,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.5,0.4,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.4,0.4,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.5,0.2,0.3,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.3,0.5,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.2,0.6,0.2,toroidal,0.1,83,16,83.83838383838383,16.161616161616163,No
0.15,0,100,0.6,0.2,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.45,0.45,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.33,0.33,0.34,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.25,0.5,0.25,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.2,0.4,0.4,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.7,0.2,0.1,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.55,0.25,0.2,toroidal,0.1,99,0,100.0,0.0,Yes
0.15,0,100,0.35,0.5,0.15,toroidal,0.1,99,0,100.0,0.0,Yes
