Agent Number,Epsilon,Trendsetter %,Beta,Weight,Trial,Percent of A,Percent of B
64,0.05,2,0.1,"[1, 0, 0]",1,100.0,0.0
64,0.05,2,0.1,"[1, 0, 0]",2,100.0,0.0
64,0.05,2,0.1,"[1, 0, 0]",3,100.0,0.0
64,0.05,2,0.1,"[1, 0, 0]",4,100.0,0.0
64,0.05,2,0.1,"[1, 0, 0]",5,100.0,0.0
64,0.05,2,0.1,"[0, 1, 0]",1,95.3125,4.6875
64,0.05,2,0.1,"[0, 1, 0]",2,93.75,6.25
64,0.05,2,0.1,"[0, 1, 0]",3,95.3125,4.6875
64,0.05,2,0.1,"[0, 1, 0]",4,96.875,3.125
64,0.05,2,0.1,"[0, 1, 0]",5,98.4375,1.5625
64,0.05,2,0.1,"[0, 0, 1]",1,43.75,56.25
64,0.05,2,0.1,"[0, 0, 1]",2,56.25,43.75
64,0.05,2,0.1,"[0, 0, 1]",3,53.125,46.875
64,0.05,2,0.1,"[0, 0, 1]",4,53.125,46.875
64,0.05,2,0.1,"[0, 0, 1]",5,43.75,56.25
64,0.05,2,0.2,"[1, 0, 0]",1,100.0,0.0
64,0.05,2,0.2,"[1, 0, 0]",2,100.0,0.0
64,0.05,2,0.2,"[1, 0, 0]",3,100.0,0.0
64,0.05,2,0.2,"[1, 0, 0]",4,100.0,0.0
64,0.05,2,0.2,"[1, 0, 0]",5,100.0,0.0
64,0.05,2,0.2,"[0, 1, 0]",1,92.1875,7.8125
64,0.05,2,0.2,"[0, 1, 0]",2,95.3125,4.6875
64,0.05,2,0.2,"[0, 1, 0]",3,92.1875,7.8125
64,0.05,2,0.2,"[0, 1, 0]",4,90.625,9.375
64,0.05,2,0.2,"[0, 1, 0]",5,92.1875,7.8125
64,0.05,2,0.2,"[0, 0, 1]",1,100.0,0.0
64,0.05,2,0.2,"[0, 0, 1]",2,100.0,0.0
64,0.05,2,0.2,"[0, 0, 1]",3,100.0,0.0
64,0.05,2,0.2,"[0, 0, 1]",4,100.0,0.0
64,0.05,2,0.2,"[0, 0, 1]",5,100.0,0.0
64,0.05,2,0.3,"[1, 0, 0]",1,100.0,0.0
64,0.05,2,0.3,"[1, 0, 0]",2,100.0,0.0
64,0.05,2,0.3,"[1, 0, 0]",3,100.0,0.0
64,0.05,2,0.3,"[1, 0, 0]",4,100.0,0.0
64,0.05,2,0.3,"[1, 0, 0]",5,100.0,0.0
64,0.05,2,0.3,"[0, 1, 0]",1,93.75,6.25
64,0.05,2,0.3,"[0, 1, 0]",2,92.1875,7.8125
64,0.05,2,0.3,"[0, 1, 0]",3,95.3125,4.6875
64,0.05,2,0.3,"[0, 1, 0]",4,89.0625,10.9375
64,0.05,2,0.3,"[0, 1, 0]",5,96.875,3.125
64,0.05,2,0.3,"[0, 0, 1]",1,100.0,0.0
64,0.05,2,0.3,"[0, 0, 1]",2,100.0,0.0
64,0.05,2,0.3,"[0, 0, 1]",3,100.0,0.0
64,0.05,2,0.3,"[0, 0, 1]",4,100.0,0.0
64,0.05,2,0.3,"[0, 0, 1]",5,100.0,0.0
64,0.05,2,0.4,"[1, 0, 0]",1,100.0,0.0
