Agent_Number,Topology,Beta,Circle_Degree,Trendsetter_Percent,Epsilon,Weight,Trendsetter_Choosing_Type,Window_Size,A_emerged_count,B_emerged_count,Total_emerged,B_emerged_percentage
100,scale_free,0.1,[1],2,0.05,"[0, 0, 1]",by closeness,5,11,19,30,0.6333333333333333
100,scale_free,0.1,[1],2,0.1,"[0, 0, 1]",by closeness,5,15,15,30,0.5
100,scale_free,0.1,[1],4,0.05,"[0, 0, 1]",by closeness,5,2,28,30,0.9333333333333333
100,scale_free,0.1,[1],4,0.1,"[0, 0, 1]",by closeness,5,2,28,30,0.9333333333333333
100,scale_free,0.2,[1],2,0.05,"[0, 0, 1]",by closeness,5,10,20,30,0.6666666666666666
100,scale_free,0.2,[1],2,0.1,"[0, 0, 1]",by closeness,5,12,18,30,0.6
100,scale_free,0.2,[1],4,0.05,"[0, 0, 1]",by closeness,5,5,24,29,0.8
100,scale_free,0.2,[1],4,0.1,"[0, 0, 1]",by closeness,5,4,26,30,0.8666666666666667
100,scale_free,0.1,"[1,2]",2,0.05,"[0, 0, 1]",by closeness,5,10,20,30,0.6666666666666666
100,scale_free,0.1,"[1,2]",2,0.1,"[0, 0, 1]",by closeness,5,8,22,30,0.7333333333333333
100,scale_free,0.1,"[1,2]",4,0.05,"[0, 0, 1]",by closeness,5,3,27,30,0.9
100,scale_free,0.1,"[1,2]",4,0.1,"[0, 0, 1]",by closeness,5,1,29,30,0.9666666666666667
100,scale_free,0.2,"[1,2]",2,0.05,"[0, 0, 1]",by closeness,5,12,18,30,0.6
100,scale_free,0.2,"[1,2]",2,0.1,"[0, 0, 1]",by closeness,5,8,22,30,0.7333333333333333
100,scale_free,0.2,"[1,2]",4,0.05,"[0, 0, 1]",by closeness,5,5,25,30,0.8333333333333334
100,scale_free,0.2,"[1,2]",4,0.1,"[0, 0, 1]",by closeness,5,5,25,30,0.8333333333333334
