Agent_Number,Topology,Beta,Circle_Degree,Trendsetter_Percent,Epsilon,Weight,Trendsetter_Choosing_Type,Window_Size,A_emerged_count,B_emerged_count,Total_emerged,B_emerged_percentage
100,scale_free,0.1,[1],2,0.05,"[0, 0, 1]",by closeness,1,8,12,20,0.6
100,scale_free,0.1,[1],2,0.05,"[0, 0, 1]",by closeness,5,5,15,20,0.75
100,scale_free,0.1,[1],2,0.05,"[0, 0, 1]",by closeness,10,7,13,20,0.65
100,scale_free,0.1,[1],2,0.05,"[0, 0, 1]",by degree,1,9,11,20,0.55
100,scale_free,0.1,[1],2,0.05,"[0, 0, 1]",by degree,5,4,16,20,0.8
100,scale_free,0.1,[1],2,0.05,"[0, 0, 1]",by degree,10,10,10,20,0.5
100,scale_free,0.1,"[1, 2]",2,0.05,"[0, 0, 1]",by closeness,1,6,14,20,0.7
100,scale_free,0.1,"[1, 2]",2,0.05,"[0, 0, 1]",by closeness,5,5,15,20,0.75
100,scale_free,0.1,"[1, 2]",2,0.05,"[0, 0, 1]",by closeness,10,8,12,20,0.6
100,scale_free,0.1,"[1, 2]",2,0.05,"[0, 0, 1]",by degree,1,8,12,20,0.6
100,scale_free,0.1,"[1, 2]",2,0.05,"[0, 0, 1]",by degree,5,8,12,20,0.6
100,scale_free,0.1,"[1, 2]",2,0.05,"[0, 0, 1]",by degree,10,4,16,20,0.8
100,scale_free,0.1,[1],2,0.1,"[0, 0, 1]",by closeness,1,5,15,20,0.75
100,scale_free,0.1,[1],2,0.1,"[0, 0, 1]",by closeness,5,6,14,20,0.7
100,scale_free,0.1,[1],2,0.1,"[0, 0, 1]",by closeness,10,5,15,20,0.75
100,scale_free,0.1,[1],2,0.1,"[0, 0, 1]",by degree,1,4,16,20,0.8
100,scale_free,0.1,[1],2,0.1,"[0, 0, 1]",by degree,5,8,12,20,0.6
100,scale_free,0.1,[1],2,0.1,"[0, 0, 1]",by degree,10,6,14,20,0.7
100,scale_free,0.1,"[1, 2]",2,0.1,"[0, 0, 1]",by closeness,1,4,15,19,0.75
100,scale_free,0.1,"[1, 2]",2,0.1,"[0, 0, 1]",by closeness,5,7,13,20,0.65
100,scale_free,0.1,"[1, 2]",2,0.1,"[0, 0, 1]",by closeness,10,5,15,20,0.75
100,scale_free,0.1,"[1, 2]",2,0.1,"[0, 0, 1]",by degree,1,9,11,20,0.55
100,scale_free,0.1,"[1, 2]",2,0.1,"[0, 0, 1]",by degree,5,7,13,20,0.65
100,scale_free,0.1,"[1, 2]",2,0.1,"[0, 0, 1]",by degree,10,3,17,20,0.85
100,scale_free,0.1,[1],2,0.15,"[0, 0, 1]",by closeness,1,5,11,16,0.55
100,scale_free,0.1,[1],2,0.15,"[0, 0, 1]",by closeness,5,3,17,20,0.85
100,scale_free,0.1,[1],2,0.15,"[0, 0, 1]",by closeness,10,6,14,20,0.7
100,scale_free,0.1,[1],2,0.15,"[0, 0, 1]",by degree,1,2,14,16,0.7
100,scale_free,0.1,[1],2,0.15,"[0, 0, 1]",by degree,5,6,14,20,0.7
100,scale_free,0.1,[1],2,0.15,"[0, 0, 1]",by degree,10,2,18,20,0.9
100,scale_free,0.1,"[1, 2]",2,0.15,"[0, 0, 1]",by closeness,1,6,13,19,0.65
100,scale_free,0.1,"[1, 2]",2,0.15,"[0, 0, 1]",by closeness,5,4,16,20,0.8
100,scale_free,0.1,"[1, 2]",2,0.15,"[0, 0, 1]",by closeness,10,8,12,20,0.6
100,scale_free,0.1,"[1, 2]",2,0.15,"[0, 0, 1]",by degree,1,4,13,17,0.65
100,scale_free,0.1,"[1, 2]",2,0.15,"[0, 0, 1]",by degree,5,9,11,20,0.55
100,scale_free,0.1,"[1, 2]",2,0.15,"[0, 0, 1]",by degree,10,2,18,20,0.9
100,scale_free,0.1,[1],2,0.2,"[0, 0, 1]",by closeness,1,2,9,11,0.45
100,scale_free,0.1,[1],2,0.2,"[0, 0, 1]",by closeness,5,7,13,20,0.65
100,scale_free,0.1,[1],2,0.2,"[0, 0, 1]",by closeness,10,9,11,20,0.55
100,scale_free,0.1,[1],2,0.2,"[0, 0, 1]",by degree,1,1,10,11,0.5
100,scale_free,0.1,[1],2,0.2,"[0, 0, 1]",by degree,5,6,14,20,0.7
100,scale_free,0.1,[1],2,0.2,"[0, 0, 1]",by degree,10,2,18,20,0.9
100,scale_free,0.1,"[1, 2]",2,0.2,"[0, 0, 1]",by closeness,1,2,9,11,0.45
100,scale_free,0.1,"[1, 2]",2,0.2,"[0, 0, 1]",by closeness,5,6,14,20,0.7
100,scale_free,0.1,"[1, 2]",2,0.2,"[0, 0, 1]",by closeness,10,5,15,20,0.75
100,scale_free,0.1,"[1, 2]",2,0.2,"[0, 0, 1]",by degree,1,3,10,13,0.5
100,scale_free,0.1,"[1, 2]",2,0.2,"[0, 0, 1]",by degree,5,8,12,20,0.6
100,scale_free,0.1,"[1, 2]",2,0.2,"[0, 0, 1]",by degree,10,4,16,20,0.8
100,scale_free,0.1,[1],4,0.1,"[0, 0, 1]",by closeness,1,1,19,20,0.95
100,scale_free,0.1,[1],4,0.1,"[0, 0, 1]",by closeness,5,0,20,20,1.0
100,scale_free,0.1,[1],4,0.1,"[0, 0, 1]",by closeness,10,2,18,20,0.9
100,scale_free,0.1,[1],4,0.1,"[0, 0, 1]",by degree,1,0,20,20,1.0
100,scale_free,0.1,[1],4,0.1,"[0, 0, 1]",by degree,5,1,19,20,0.95
100,scale_free,0.1,[1],4,0.1,"[0, 0, 1]",by degree,10,0,20,20,1.0
100,scale_free,0.1,"[1, 2]",4,0.1,"[0, 0, 1]",by closeness,1,2,18,20,0.9
100,scale_free,0.1,"[1, 2]",4,0.1,"[0, 0, 1]",by closeness,5,0,20,20,1.0
100,scale_free,0.1,"[1, 2]",4,0.1,"[0, 0, 1]",by closeness,10,2,18,20,0.9
100,scale_free,0.1,"[1, 2]",4,0.1,"[0, 0, 1]",by degree,1,1,19,20,0.95
100,scale_free,0.1,"[1, 2]",4,0.1,"[0, 0, 1]",by degree,5,1,19,20,0.95
100,scale_free,0.1,"[1, 2]",4,0.1,"[0, 0, 1]",by degree,10,1,19,20,0.95
200,scale_free,0.1,[1],2,0.05,"[0, 0, 1]",by closeness,1,0,20,20,1.0
200,scale_free,0.1,[1],2,0.05,"[0, 0, 1]",by closeness,5,4,16,20,0.8
200,scale_free,0.1,[1],2,0.05,"[0, 0, 1]",by closeness,10,3,17,20,0.85
200,scale_free,0.1,[1],2,0.05,"[0, 0, 1]",by degree,1,1,19,20,0.95
200,scale_free,0.1,[1],2,0.05,"[0, 0, 1]",by degree,5,3,17,20,0.85
200,scale_free,0.1,[1],2,0.05,"[0, 0, 1]",by degree,10,3,17,20,0.85
200,scale_free,0.1,"[1, 2]",2,0.05,"[0, 0, 1]",by closeness,1,0,20,20,1.0
200,scale_free,0.1,"[1, 2]",2,0.05,"[0, 0, 1]",by closeness,5,2,18,20,0.9
200,scale_free,0.1,"[1, 2]",2,0.05,"[0, 0, 1]",by closeness,10,3,17,20,0.85
200,scale_free,0.1,"[1, 2]",2,0.05,"[0, 0, 1]",by degree,1,1,19,20,0.95
200,scale_free,0.1,"[1, 2]",2,0.05,"[0, 0, 1]",by degree,5,1,19,20,0.95
200,scale_free,0.1,"[1, 2]",2,0.05,"[0, 0, 1]",by degree,10,3,17,20,0.85
200,scale_free,0.1,[1],2,0.1,"[0, 0, 1]",by closeness,1,2,18,20,0.9
