Agent_Number,Topology,Beta,Circle_Degree,Trendsetter_Percent,Epsilon,Weight,Trendsetter_Choosing_Type,Window_Size,A_emerged_count,B_emerged_count,Total_emerged,B_emerged_percentage
100,scale_free,0.05,[1],1,0.01,"[0,0,1]",by closeness,5,17,13,30,0.43333333333333335
100,scale_free,0.05,[1],1,0.05,"[0,0,1]",by closeness,5,17,13,30,0.43333333333333335
100,scale_free,0.05,[1],1,0.1,"[0,0,1]",by closeness,5,17,13,30,0.43333333333333335
100,scale_free,0.05,[1],2,0.01,"[0,0,1]",by closeness,5,3,27,30,0.9
100,scale_free,0.05,[1],2,0.05,"[0,0,1]",by closeness,5,4,26,30,0.8666666666666667
100,scale_free,0.05,[1],2,0.1,"[0,0,1]",by closeness,5,2,27,29,0.9
100,scale_free,0.05,[1],4,0.01,"[0,0,1]",by closeness,5,0,29,29,0.9666666666666667
100,scale_free,0.05,[1],4,0.05,"[0,0,1]",by closeness,5,0,30,30,1.0
100,scale_free,0.05,[1],4,0.1,"[0,0,1]",by closeness,5,0,30,30,1.0
100,scale_free,0.1,[1],1,0.01,"[0,0,1]",by closeness,5,20,10,30,0.3333333333333333
100,scale_free,0.1,[1],1,0.05,"[0,0,1]",by closeness,5,19,11,30,0.36666666666666664
100,scale_free,0.1,[1],1,0.1,"[0,0,1]",by closeness,5,17,13,30,0.43333333333333335
100,scale_free,0.1,[1],2,0.01,"[0,0,1]",by closeness,5,6,24,30,0.8
100,scale_free,0.1,[1],2,0.05,"[0,0,1]",by closeness,5,9,21,30,0.7
100,scale_free,0.1,[1],2,0.1,"[0,0,1]",by closeness,5,10,20,30,0.6666666666666666
100,scale_free,0.1,[1],4,0.01,"[0,0,1]",by closeness,5,2,28,30,0.9333333333333333
100,scale_free,0.1,[1],4,0.05,"[0,0,1]",by closeness,5,0,30,30,1.0
100,scale_free,0.1,[1],4,0.1,"[0,0,1]",by closeness,5,1,29,30,0.9666666666666667
100,scale_free,0.2,[1],1,0.01,"[0,0,1]",by closeness,5,19,11,30,0.36666666666666664
100,scale_free,0.2,[1],1,0.05,"[0,0,1]",by closeness,5,22,8,30,0.26666666666666666
100,scale_free,0.2,[1],1,0.1,"[0,0,1]",by closeness,5,19,11,30,0.36666666666666664
100,scale_free,0.2,[1],2,0.01,"[0,0,1]",by closeness,5,15,15,30,0.5
100,scale_free,0.2,[1],2,0.05,"[0,0,1]",by closeness,5,18,12,30,0.4
100,scale_free,0.2,[1],2,0.1,"[0,0,1]",by closeness,5,14,16,30,0.5333333333333333
100,scale_free,0.2,[1],4,0.01,"[0,0,1]",by closeness,5,3,27,30,0.9
100,scale_free,0.2,[1],4,0.05,"[0,0,1]",by closeness,5,4,26,30,0.8666666666666667
100,scale_free,0.2,[1],4,0.1,"[0,0,1]",by closeness,5,3,27,30,0.9
