A_emerged_count,B_emerged_count,Total_emerged,B_emerged_percentage,Agent Number,Epsilon,Trendsetter %,Beta,Weight
10,0,10,0.0,64,0.2,6,0.3,"[0, 0, 1]"
,10,0,10,0.0,64,0.2,6,0.4,"[0, 0, 1]"
10,0,10,0.0,64,0.2,10,0.5,"[0, 0, 1]"
10,0,10,0.0,81,0.05,6,0.3,"[0, 0, 1]"
10,0,10,0.0,81,0.05,8,0.5,"[0, 0, 1]"
10,0,10,0.0,81,0.1,2,0.5,"[0, 0, 1]"
10,0,10,0.0,81,0.15,6,0.3,"[0, 0, 1]"
8,2,10,0.2,81,0.15,10,0.5,"[0, 0, 1]"
10,0,10,0.0,81,0.15,10,0.5,"[0, 0, 1]"
10,0,10,0.0,81,0.2,4,0.4,"[0, 0, 1]"
10,0,10,0.0,81,0.2,6,0.4,"[0, 0, 1]"
10,0,10,0.0,81,0.2,10,0.3,"[0, 0, 1]"
10,0,10,0.0,100,0.05,4,0.4,"[0, 0, 1]"
10,0,10,0.0,100,0.1,6,0.5,"[0, 0, 1]"
10,0,10,0.0,100,0.15,2,0.3,"[0, 0, 1]"
10,0,10,0.0,100,0.15,2,0.4,"[0, 0, 1]"
10,0,10,0.0,100,0.2,2,0.3,"[0, 0, 1]"
8,2,10,0.2,100,0.2,4,0.5,"[0, 0, 1]"
9,1,10,0.1,100,0.15,2,0.4,"[0, 0, 1]"
10,0,10,0.0,100,0.15,2,0.5,"[0, 0, 1]"
10,0,10,0.0,100,0.15,2,0.2,"[0, 0, 1]"
10,0,10,0.0,100,0.15,10,0.2,"[0, 0, 1]"
10,0,10,0.0,100,0.15,10,0.3,"[0, 0, 1]"
10,0,10,0.0,100,0.2,2,0.4,"[0, 0, 1]"
10,0,10,0.0,100,0.2,2,0.5,"[0, 0, 1]"
10,0,10,0.0,100,0.2,8,0.3,"[0, 0, 1]"
